Date,City,Cows,States,Venue,Tickets sold / Available,Revenue
28-May-17,Phoenix,AZ,Arizona ,Ak-Chin Pavilion,"12,662 / 19,250",55
27-Dec-15,San Francisco,CA,California,Bill Graham Civic Auditorium,"17,032 / 17,032","$1,277,400 [15]"
28-Dec-15,San Francisco,CA,California,Bill Graham Civic Auditorium,,
30-Dec-15,Inglewood,CA,California,The Forum,"30,852 / 30,852","$2,850,192 [15][16]"
31-Dec-15,Inglewood,CA,California,The Forum,,
26-Jul-16,Irvine,CA,California,Irvine Meadows Amphitheatre,"13,529 / 14,246","$1,090,966 [15]"
27-Jul-16,Chula Vista,CA,California,Sleep Train Amphitheatre,"8,906 / 18,086","$710,057 [15]"
29-Jul-16,Wheatland,CA,California,Toyota Amphitheatre,"9,141 / 16,731","$663,004 [15]"
30-Jul-16,Mountain View,CA,California,Shoreline Amphitheatre,"21,564 / 21,564","$1,268,290 [15]"
31-May-17,Los Angeles,CA,California,Hollywood Bowl,"31,778 / 35,213","$2,931,168 "
1-Jun-17,Los Angeles,CA,California,Hollywood Bowl,,
3-Jun-17,Mountain View,CA,California,Shoreline Amphitheatre,"21,780 / 22,015","$1,152,715 "
4-Jun-17,Mountain View,CA,California,Shoreline Amphitheatre,"16,422 / 21,949","$968,959 "
2-Jul-18,Mountain View,CA,California,Shoreline Amphitheatre,"39,256 / 44,022","$2,253,643 "
3-Jul-18,Mountain View,CA,California,Shoreline Amphitheatre,,
6-Jul-18,Chula Vista,CA,California,Mattress Firm Amphitheatre,"15,543 / 19,602","$1,093,450 "
7-Jul-18,Los Angeles,CA,California,Dodger Stadium,"33,098 / 39,021","$2,464,706 "
3-Jun-19,Los Angeles,CA,California,Hollywood Bowl,"33,713 / 34,857","$3,284,217 "
4-Jun-19,Los Angeles,CA,California,Hollywood Bowl,,
27-Dec-19,Inglewood,CA,California,The Forum,,
28-Dec-19,Inglewood,CA,California,The Forum,,
30-Dec-19,San Francisco,CA,California,Chase Center,,
"June 1, 2019[6]",Mountain View,CA,California,Shoreline Amphitheatre,,
"May 31, 2019[5]",Mountain View,CA,California,Shoreline Amphitheatre,"38,971 / 44,262","$2,871,183 "
