Date,City,Cows,States,Venue
29-Oct-15,Albany,NY,New York,Times Union Center
31-Oct-15,New York City,NY,New York,Madison Square Garden
1-Nov-15,New York City,NY,New York,Madison Square Garden
5-Nov-15,Philadelphia,PA,Pennsylvania,Wells Fargo Center
6-Nov-15,"Washington, D.C.",DC,DC,Verizon Center
7-Nov-15,New York City,NY,New York,Madison Square Garden
10-Nov-15,Worcester,NY,New York,DCU Center
11-Nov-15,Buffalo,NY,New York,First Niagara Center
13-Nov-15,Columbus,OH,Ohio,Nationwide Arena
14-Nov-15,Greensboro,NC,North Carolina,Greensboro Coliseum
17-Nov-15,Atlanta,GA,Georgia,Philips Arena
18-Nov-15,Nashville,TN,Tennessee,Bridgestone Arena
20-Nov-15,St. Louis,MO,Missouri,Scottrade Center
21-Nov-15,Minneapolis,MN,Minnesota,Target Center
24-Nov-15,Broomfield,IN,Indiana,1stBank Center
25-Nov-15,Broomfield,IN,Indiana,1stBank Center
27-Nov-15,Paradise,NV,Nevada,MGM Grand Garden Arena
28-Nov-15,Paradise,NV,Nevada,MGM Grand Garden Arena
27-Dec-15,San Francisco,CA,California,Bill Graham Civic Auditorium
28-Dec-15,San Francisco,CA,California,Bill Graham Civic Auditorium
30-Dec-15,Inglewood,CA,California,The Forum
31-Dec-15,Inglewood,CA,California,The Forum
10-Jun-16,Charlotte [12],NC,North Carolina,PNC Music Pavilion
12-Jun-16,Manchester,TN,Tennessee,Great Stage Park
13-Jun-16,Manchester,TN,Tennessee,(Bonnaroo Music Festival)
16-Jun-16,Cincinnati,OH,Ohio,Riverbend Music Center
17-Jun-16,Noblesville,IN,Indiana,Klipsch Music Center
20-Jun-16,Camden,NJ,New Jersey,BB&T Pavilion
21-Jun-16,Saratoga Springs,NY,New York,Saratoga Performing Arts Center
23-Jun-16,Bristow,VA,Virginia,Jiffy Lube Live
25-Jun-16,New York City,NY,New York,Citi Field
26-Jun-16,New York City,NY,New York,Citi Field
28-Jun-16,Hartford,CT,Connecticut,Xfinity Theatre
2-Jul-16,Boulder,CO,Colorado,Folsom Field
3-Jul-16,Boulder,CO,Colorado,Folsom Field
7-Jul-16,Clarkston,MI,Michigan,DTE Energy Music Theatre
9-Jul-16,East Troy,WI,Wisconsin,Alpine Valley Music Theatre
10-Jul-16,East Troy,WI,Wisconsin,Alpine Valley Music Theatre
13-Jul-16,Burgettstown,PA,Pennsylvania,First Niagara Pavilion
15-Jul-16,Boston,MA,Massachusetts,Fenway Park[7]
16-Jul-16,Boston,MA,Massachusetts,Fenway Park[7]
22-Jul-16,Portland,OR,Oregon,Moda Center
23-Jul-16,George,WA,Washington,The Gorge Amphitheatre
26-Jul-16,Irvine,CA,California,Irvine Meadows Amphitheatre
27-Jul-16,Chula Vista,CA,California,Sleep Train Amphitheatre
29-Jul-16,Wheatland,CA,California,Toyota Amphitheatre
30-Jul-16,Mountain View,CA,California,Shoreline Amphitheatre
22-Aug-16,Raleigh,NC,North Carolina,Coastal Credit Union Music Park
27-May-17,Las Vegas,NV,Nevada,MGM Grand Garden Arena
